,DATE,WEATHER,TEMPC,WIND
336,2009-01-11 05,fog,-2.2,6.0
337,2009-01-11 06,normal,-2.8,5.0
338,2009-01-11 07,normal,-3.3,8.0
340,2009-01-11 08,normal,-3.9,7.0
342,2009-01-11 09,normal,-3.9,8.0
343,2009-01-11 10,normal,-2.8,7.0
344,2009-01-11 11,normal,-1.7,11.0
345,2009-01-11 12,normal,-1.1,10.0
346,2009-01-11 13,normal,-1.1,9.0
348,2009-01-11 14,normal,-1.1,0.0
349,2009-01-11 15,normal,-1.1,0.0
350,2009-01-11 16,normal,-1.1,7.0
351,2009-01-11 17,normal,-1.7,8.0
352,2009-01-11 18,normal,-2.8,8.0
353,2009-01-11 19,normal,-2.8,3.0
354,2009-01-11 20,normal,-3.0,5.0
355,2009-01-11 21,normal,-3.3,0.0
356,2009-01-11 22,normal,-3.9,6.0
358,2009-01-11 23,normal,,
359,2009-01-12 00,normal,-4.4,0.0
360,2009-01-12 01,normal,-5.0,7.0
361,2009-01-12 02,normal,-5.0,8.0
362,2009-01-12 03,normal,-5.0,0.0
363,2009-01-12 04,normal,-5.6,7.0
364,2009-01-12 05,normal,-5.6,6.0
365,2009-01-12 06,normal,-6.1,9.0
366,2009-01-12 07,normal,-6.1,9.0
367,2009-01-12 08,normal,-5.6,8.0
368,2009-01-12 09,normal,-3.9,7.0
369,2009-01-12 10,normal,-3.3,6.0
370,2009-01-12 11,normal,-1.7,8.0
371,2009-01-12 12,normal,-1.1,8.0
372,2009-01-12 13,normal,-0.6,9.0
373,2009-01-12 14,normal,0.0,9.0
374,2009-01-12 15,normal,0.0,13.0
375,2009-01-12 16,normal,-0.6,3.0
376,2009-01-12 17,normal,-0.6,8.0
377,2009-01-12 18,normal,-1.1,5.0
378,2009-01-12 19,normal,-1.1,5.0
379,2009-01-12 20,normal,-1.1,6.0
380,2009-01-12 21,normal,-2.0,0.0
381,2009-01-12 22,normal,-1.7,3.0
383,2009-01-12 23,normal,,
384,2009-01-13 00,normal,-1.7,5.0
385,2009-01-13 01,normal,-1.1,0.0
386,2009-01-13 02,normal,-1.1,0.0
387,2009-01-13 03,normal,-1.1,5.0
388,2009-01-13 04,normal,-1.1,0.0
389,2009-01-13 05,normal,-1.1,5.0
390,2009-01-13 06,normal,-0.6,5.0
391,2009-01-13 07,normal,0.6,9.0
392,2009-01-13 08,normal,1.1,7.0
393,2009-01-13 09,normal,2.2,11.0
394,2009-01-13 10,normal,3.3,13.0
395,2009-01-13 11,normal,3.9,6.0
396,2009-01-13 12,normal,3.9,10.0
397,2009-01-13 13,normal,3.9,6.0
398,2009-01-13 14,normal,4.4,5.0
399,2009-01-13 15,normal,3.9,5.0
400,2009-01-13 16,normal,4.4,6.0
401,2009-01-13 17,normal,3.9,0.0
406,2009-01-13 18,normal,4.4,5.0
408,2009-01-13 19,normal,3.9,5.0
410,2009-01-13 20,normal,4.0,3.0
411,2009-01-13 21,normal,3.3,5.0
412,2009-01-13 22,normal,2.8,7.0
414,2009-01-13 23,normal,,
415,2009-01-14 00,normal,1.7,9.0
418,2009-01-14 01,normal,1.1,16.0
419,2009-01-14 02,normal,-1.1,9.0
420,2009-01-14 03,normal,-3.3,13.0
421,2009-01-14 04,normal,-5.6,15.0
422,2009-01-14 05,normal,-6.7,14.0
423,2009-01-14 06,normal,-8.3,11.0
424,2009-01-14 07,normal,-8.3,10.0
425,2009-01-14 08,normal,-8.3,16.0
426,2009-01-14 09,normal,-7.8,16.0
427,2009-01-14 10,normal,-7.2,8.0
428,2009-01-14 11,normal,-6.7,8.0
429,2009-01-14 12,normal,-6.1,7.0
430,2009-01-14 13,normal,-5.6,7.0
431,2009-01-14 14,normal,-5.6,7.0
432,2009-01-14 15,normal,-5.6,6.0
433,2009-01-14 16,normal,-6.1,3.0
434,2009-01-14 17,normal,-5.6,0.0
435,2009-01-14 18,normal,-5.6,6.0
436,2009-01-14 19,normal,-5.6,6.0
437,2009-01-14 20,normal,-6.0,7.0
438,2009-01-14 21,normal,-6.1,8.0
439,2009-01-14 22,normal,-5.6,3.0
441,2009-01-14 23,normal,,
442,2009-01-15 00,normal,-5.6,3.0
443,2009-01-15 01,normal,-6.1,7.0
444,2009-01-15 02,normal,-6.1,7.0
445,2009-01-15 03,normal,-6.7,13.0
